Date,Amount,GST Rate,GST Amount
2025-01-25,3.80,0.09,0.3420
2025-01-25,167.00,0.09,15.0300
2025-01-24,8.00,0.09,0.7200
2025-01-24,7.40,0.09,0.6660
2025-01-24,1.90,0.09,0.1710
2025-01-24,1.70,0.09,0.1530
2025-01-24,5.30,0.09,0.4770
2025-01-23,7.50,0.09,0.6750
2025-01-23,5.00,0.09,0.4500
2025-01-22,2.00,0.09,0.1800
2025-01-22,5.80,0.09,0.5220
2025-01-21,4.15,0.09,0.3735
2025-01-21,1.80,0.09,0.1620
2025-01-21,122.00,0.09,10.9800
2025-01-20,14.80,0.09,1.3320
2025-01-20,5.30,0.09,0.4770
2025-01-19,8.30,0.09,0.7470
2025-01-19,4.00,0.09,0.3600
2025-01-19,1.20,0.09,0.1080
2025-01-18,5.00,0.09,0.4500
2025-01-18,16.20,0.09,1.4580
2025-01-18,10.38,0.09,0.9342
2025-01-17,4.16,0.09,0.3744
2025-01-17,8.30,0.09,0.7470
2025-01-16,18.12,0.09,1.6308
2025-01-16,2.60,0.09,0.2340
2025-01-16,21.02,0.09,1.8918
2025-01-16,5.60,0.09,0.5040
2025-01-15,11.51,0.09,1.0359
2025-01-15,4.30,0.09,0.3870
2025-01-13,9.77,0.09,0.8793
2025-01-13,5.00,0.09,0.4500
2025-01-13,4.75,0.09,0.4275
2025-01-12,50.00,0.09,4.5000
2025-01-12,2.00,0.09,0.1800
2025-01-12,14.00,0.09,1.2600
2025-01-11,11.80,0.09,1.0620
2025-01-11,0.55,0.09,0.0495
2025-01-11,1.70,0.09,0.1530
2025-01-11,11.88,0.09,1.0692
2025-01-10,21.95,0.09,1.9755
2025-01-10,7.40,0.09,0.6660
2025-01-10,17.00,0.09,1.5300
2025-01-10,25.46,0.09,2.2914
2025-01-09,5.30,0.09,0.4770
2025-01-09,11.20,0.09,1.0080
2025-01-08,10.16,0.09,0.9144
2025-01-08,2.00,0.09,0.1800
2025-01-08,6.00,0.09,0.5400
2025-01-07,9.65,0.09,0.8685
2025-01-07,7.60,0.09,0.6840
2025-01-07,4.60,0.09,0.4140
2025-01-06,4.05,0.09,0.3645
2025-01-06,1.30,0.09,0.1170
2025-01-06,4.30,0.09,0.3870
2025-01-06,42.90,0.09,3.8610
2025-01-06,102.60,0.09,9.2340
2025-01-05,1.77,0.09,0.1593
2025-01-05,29.94,0.09,2.6946
2025-01-05,5.85,0.09,0.5265
2025-01-05,15.90,0.09,1.4310
2025-01-05,30.00,0.09,2.7000
2025-01-05,2.60,0.09,0.2340
2025-01-05,1.30,0.09,0.1170
2025-01-05,11.17,0.09,1.0053
2025-01-04,1.70,0.09,0.1530
2025-01-04,13.00,0.09,1.1700
2025-01-04,4.95,0.09,0.4455
2025-01-04,1.50,0.09,0.1350
2025-01-04,1.50,0.09,0.1350
2025-01-04,6.50,0.09,0.5850
2025-01-04,1.30,0.09,0.1170
2025-01-04,1.80,0.09,0.1620
2025-01-03,50.15,0.09,4.5135
2025-01-02,24.89,0.09,2.2401
2025-01-02,11.79,0.09,1.0611
2025-01-02,21.43,0.09,1.9287
2025-01-02,30.00,0.09,2.7000
2025-01-02,6.48,0.09,0.5832
2024-12-31,550.00,0.09,49.5000
2024-12-27,11.89,0.09,1.0701
2024-12-26,16.11,0.09,1.4499
2024-12-26,19.00,0.09,1.7100
2024-12-25,118.00,0.09,10.6200
2024-12-22,22.98,0.09,2.0682
2024-12-21,60.00,0.09,5.4000
2024-12-20,56.96,0.09,5.1264
2024-12-20,6.57,0.09,0.5913
2024-12-20,39.60,0.09,3.5640
2024-12-20,5850.00,0.09,526.5000
2024-12-20,13.98,0.09,1.2582
2024-12-18,350.00,0.09,31.5000
2024-12-18,300.00,0.09,27.0000
2024-12-18,1.80,0.09,0.1620
2024-12-18,4.30,0.09,0.3870
2024-12-18,7.90,0.09,0.7110
2024-12-17,1.80,0.09,0.1620
2024-12-17,5.30,0.09,0.4770
2024-12-17,6.30,0.09,0.5670
2024-12-15,4.50,0.09,0.4050
2024-12-15,13.50,0.09,1.2150
2024-12-15,2.30,0.09,0.2070
2024-12-15,8.70,0.09,0.7830
2024-12-14,11.05,0.09,0.9945
2024-12-14,2.50,0.09,0.2250
2024-12-14,3.90,0.09,0.3510
2024-12-13,6.50,0.09,0.5850
2024-12-13,2.00,0.09,0.1800
