expenses list,,,,,,,,,,
Date and time,Category,Account,Amount in default currency,Default currency,Amount in account currency,Account currency,Transaction amount in transaction currency,Transaction currency,Tags,Comment
12/3/2025,Food,Main,3.30,SGD,3.30,SGD,,,,
11/3/2025,Leisure,Main,25.46,SGD,25.46,SGD,,,,GOMO
11/3/2025,Groceries,Main,7.95,SGD,7.95,SGD,,,,
11/3/2025,Leisure,Main,34.00,SGD,34.00,SGD,,,,Pants
11/3/2025,Groceries,Main,3.30,SGD,3.30,SGD,,,,
11/3/2025,Food,Main,1.10,SGD,1.10,SGD,,,,
11/3/2025,Food,Main,5.30,SGD,5.30,SGD,,,,
11/3/2025,Food,Main,8.80,SGD,8.80,SGD,,,,
10/3/2025,Health,Main,21.95,SGD,21.95,SGD,,,,Life Ins
10/3/2025,Food,Main,5.80,SGD,5.80,SGD,,,,
10/3/2025,Food,Main,3.80,SGD,3.80,SGD,,,,
9/3/2025,Groceries,Main,4.25,SGD,4.25,SGD,,,,
9/3/2025,Food,Main,2.50,SGD,2.50,SGD,,,,
9/3/2025,Groceries,Main,22.00,SGD,22.00,SGD,,,,
9/3/2025,Food,Main,1.92,SGD,1.92,SGD,,,,
8/3/2025,Food,Main,11.71,SGD,11.71,SGD,,,,
8/3/2025,Food,Main,1.62,SGD,1.62,SGD,,,,
8/3/2025,Food,Main,1.70,SGD,1.70,SGD,,,,
8/3/2025,Leisure,Main,10.00,SGD,10.00,SGD,,,,
7/3/2025,Food,Main,10.00,SGD,10.00,SGD,,,,
7/3/2025,Food,Main,2.00,SGD,2.00,SGD,,,,
7/3/2025,Food,Main,3.20,SGD,3.20,SGD,,,,
7/3/2025,Food,Main,7.11,SGD,7.11,SGD,,,,
7/3/2025,Food,Main,2.50,SGD,2.50,SGD,,,,
7/3/2025,Food,Main,7.92,SGD,7.92,SGD,,,,
7/3/2025,Food,Main,1.92,SGD,1.92,SGD,,,,
7/3/2025,Food,Main,2.30,SGD,2.30,SGD,,,,
6/3/2025,Food,Main,1.95,SGD,1.95,SGD,,,,
6/3/2025,Groceries,Main,11.00,SGD,11.00,SGD,,,,
6/3/2025,Ciggaretes,Main,15.80,SGD,15.80,SGD,,,,
6/3/2025,Leisure,Main,2.00,SGD,2.00,SGD,,,,
6/3/2025,Food,Main,6.00,SGD,6.00,SGD,,,,
6/3/2025,Credit Card Bill,Main,50.00,SGD,50.00,SGD,,,,
6/3/2025,Tax,Main,42.60,SGD,42.60,SGD,,,,
6/3/2025,Leisure,Main,19.60,SGD,19.60,SGD,,,,Bought Lazada Voucher
6/3/2025,Workout,Main,102.60,SGD,102.60,SGD,,,,
5/3/2025,Leisure,Main,29.98,SGD,29.98,SGD,,,,ChatGPT
5/3/2025,Health,Main,24.00,SGD,24.00,SGD,,,,patanol
